
Date time,Precipitable Water Vapor [mm],Telescope Azimuth [deg],Telescope Elevation [deg],Shutter Mode,Humidity [%],Pressure [hPa],Temperature [C],Wind Direction [deg],Wind Speed [m/s]
2024-11-21T00:00:00,1.32,-17.184523,21.575801,SHUTTER_OPEN,26.90,556.09,-3.00,263,5.8
2024-11-21T00:01:00,1.33,-17.369747,21.507175,SHUTTER_OPEN,27.20,556.08,-3.00,262,4.9
2024-11-21T00:02:00,1.33,-17.553693,21.438171,SHUTTER_OPEN,27.30,556.10,-3.10,265,4.5
2024-11-21T00:03:00,1.33,-17.738207,21.368263,SHUTTER_OPEN,27.70,556.08,-3.20,267,5.1
2024-11-21T00:04:00,1.34,-17.921486,21.297741,SHUTTER_OPEN,28.00,556.09,-3.10,264,4.4
2024-11-21T00:05:00,1.34,-22.692053,30.899303,SHUTTER_OPEN,28.10,556.09,-3.20,259,4.7
2024-11-21T00:06:00,1.33,-22.948898,30.809744,SHUTTER_OPEN,29.00,556.08,-3.20,266,6.6
2024-11-21T00:07:00,1.34,-23.141006,30.719575,SHUTTER_OPEN,29.60,556.08,-3.20,253,5.8
2024-11-21T00:08:00,1.32,-23.256992,30.686345,SHUTTER_OPEN,29.50,556.09,-3.10,257,5.6
2024-11-21T00:09:00,1.31,-23.257038,30.686371,SHUTTER_OPEN,29.30,556.11,-3.20,259,4.9
2024-11-21T00:10:00,1.31,-23.256973,30.686353,SHUTTER_OPEN,29.80,556.13,-3.10,252,6.7
2024-11-21T00:11:00,1.32,-23.257008,30.686345,SHUTTER_OPEN,29.30,556.13,-3.10,258,4.7
2024-11-21T00:12:00,1.31,-23.257030,30.686331,SHUTTER_OPEN,29.40,556.10,-3.20,258,5.1
2024-11-21T00:13:00,1.29,-19.586177,20.631377,SHUTTER_OPEN,29.40,556.11,-3.30,265,3.7
2024-11-21T00:14:00,1.26,-19.735690,20.553986,SHUTTER_OPEN,29.50,556.08,-3.30,261,4.3
2024-11-21T00:15:00,1.25,-19.914511,20.475783,SHUTTER_OPEN,29.40,556.08,-3.30,261,4.9
2024-11-21T00:16:00,1.24,-20.092887,20.396902,SHUTTER_OPEN,29.40,556.07,-3.10,256,4.1
2024-11-21T00:17:00,1.22,-20.271827,20.317428,SHUTTER_OPEN,29.20,556.06,-3.20,272,4.4
2024-11-21T00:18:00,1.20,-20.449427,20.237247,SHUTTER_OPEN,29.60,556.01,-3.20,256,5.4
2024-11-21T00:19:00,1.19,-20.627025,20.156437,SHUTTER_OPEN,29.60,556.03,-3.30,279,5.9
2024-11-21T00:20:00,1.21,-20.803795,20.075065,SHUTTER_OPEN,29.90,555.97,-3.40,270,4.2
2024-11-21T00:21:00,1.15,66.591869,21.373138,SHUTTER_OPEN,30.20,555.97,-3.50,275,4.0
2024-11-21T00:22:00,1.12,66.417539,21.584429,SHUTTER_OPEN,29.50,555.97,-3.60,280,4.8
2024-11-21T00:23:00,1.11,66.287343,21.791838,SHUTTER_OPEN,29.20,555.96,-4.00,289,5.1
2024-11-21T00:24:00,1.08,66.133903,22.006323,SHUTTER_OPEN,29.70,555.94,-4.20,286,5.1
2024-11-21T00:25:00,1.06,81.872266,21.556311,SHUTTER_OPEN,30.20,555.96,-4.40,288,5.7
2024-11-21T00:26:00,1.05,81.761075,21.784158,SHUTTER_OPEN,30.80,555.92,-4.40,292,5.8
2024-11-21T00:27:00,1.04,81.650009,22.012240,SHUTTER_OPEN,31.30,555.87,-4.50,293,5.6
2024-11-21T00:28:00,1.01,81.508157,22.240479,SHUTTER_OPEN,31.70,555.87,-4.50,295,5.8
2024-11-21T00:29:00,1.00,81.426336,22.468351,SHUTTER_OPEN,31.80,555.87,-4.60,294,6.3
2024-11-21T00:30:00,1.00,81.314024,22.696290,SHUTTER_OPEN,31.70,555.89,-4.50,293,6.4
2024-11-21T00:31:00,1.02,81.201347,22.924004,SHUTTER_OPEN,31.50,555.87,-4.40,291,5.7
2024-11-21T00:32:00,1.03,81.088100,23.151820,SHUTTER_OPEN,31.70,555.90,-4.40,289,5.6
2024-11-21T00:33:00,1.05,80.974585,23.379515,SHUTTER_OPEN,31.80,555.92,-4.50,282,6.0
2024-11-21T00:34:00,1.06,80.860966,23.607117,SHUTTER_OPEN,32.00,555.93,-4.60,281,4.9
2024-11-21T00:35:00,1.11,75.430803,18.697099,SHUTTER_OPEN,32.20,555.91,-4.80,279,3.7
2024-11-21T00:36:00,1.12,75.283825,18.920106,SHUTTER_OPEN,32.00,555.94,-4.70,267,4.0
2024-11-21T00:37:00,1.15,75.192990,19.143079,SHUTTER_OPEN,31.70,555.95,-4.50,271,3.6
2024-11-21T00:38:00,1.17,75.076201,19.365614,SHUTTER_OPEN,31.60,555.97,-4.40,262,4.1
2024-11-21T00:39:00,1.18,74.957230,19.588246,SHUTTER_OPEN,31.70,555.99,-4.20,267,3.6
2024-11-21T00:40:00,1.20,74.837729,19.810574,SHUTTER_OPEN,31.40,555.98,-4.00,261,4.7
2024-11-21T00:41:00,1.21,74.717922,20.032846,SHUTTER_OPEN,31.10,556.00,-3.90,256,5.2
2024-11-21T00:42:00,1.25,74.597714,20.255030,SHUTTER_OPEN,31.00,556.01,-3.90,258,4.3
2024-11-21T00:43:00,1.24,79.788708,25.652316,SHUTTER_OPEN,30.90,556.01,-3.90,253,4.8
2024-11-21T00:44:00,1.17,79.701573,25.879407,SHUTTER_OPEN,30.80,556.02,-3.90,258,4.0
2024-11-21T00:45:00,1.19,79.583511,26.106247,SHUTTER_OPEN,31.20,556.02,-3.80,276,4.5
2024-11-21T00:46:00,1.16,79.464563,26.332995,SHUTTER_OPEN,31.20,556.05,-3.90,266,3.9
2024-11-21T00:47:00,1.14,79.346111,26.559415,SHUTTER_OPEN,31.60,556.00,-4.10,266,4.0
2024-11-21T00:48:00,1.14,79.226454,26.786079,SHUTTER_OPEN,31.80,555.98,-4.00,265,4.4
2024-11-21T00:49:00,1.10,79.106338,27.012592,SHUTTER_OPEN,31.90,555.92,-4.10,284,5.8
2024-11-21T00:50:00,1.07,73.618609,22.028235,SHUTTER_OPEN,31.60,555.90,-4.40,290,4.9
2024-11-21T00:51:00,1.05,73.464070,22.249189,SHUTTER_OPEN,31.70,555.91,-4.80,291,4.8
2024-11-21T00:52:00,1.05,73.339021,22.470376,SHUTTER_OPEN,32.50,555.91,-4.90,287,5.0
2024-11-21T00:53:00,1.04,73.243636,22.690868,SHUTTER_OPEN,33.20,555.94,-5.00,284,4.8
2024-11-21T00:54:00,1.06,73.117445,22.911751,SHUTTER_OPEN,33.50,555.95,-5.00,283,4.9
2024-11-21T00:55:00,1.06,72.990721,23.132242,SHUTTER_OPEN,33.70,556.00,-4.90,279,4.8
2024-11-21T00:56:00,1.08,72.863643,23.352599,SHUTTER_OPEN,33.80,556.03,-4.90,278,4.1
