Date time,Precipitable Water Vapor [mm],Telescope Azimuth [deg],Telescope Elevation [deg]
2024-09-20T00:00:00,1.47,258.308836,49.438860
2024-09-20T00:01:00,1.46,257.576534,49.391084
2024-09-20T00:02:00,1.45,258.233617,49.002012
2024-09-20T00:03:00,1.44,258.186247,48.744285
2024-09-20T00:04:00,1.43,258.144572,48.516782
2024-09-20T00:05:00,1.42,257.410626,48.490127
2024-09-20T00:06:00,1.43,257.372648,48.265211
2024-09-20T00:07:00,1.41,258.028503,47.870466
2024-09-20T00:08:00,1.41,257.975855,47.594625
2024-09-20T00:09:00,1.41,257.939990,47.401424
2024-09-20T00:10:00,1.42,257.898986,47.184259
2024-09-20T00:11:00,1.42,257.836503,46.923616
2024-09-20T00:12:00,1.44,257.119199,46.915198
2024-09-20T00:13:00,1.45,257.753446,46.466419
2024-09-20T00:14:00,1.45,257.707669,46.244725
2024-09-20T00:15:00,1.43,257.661889,46.023132
2024-09-20T00:16:00,1.45,257.611491,45.802367
2024-09-20T00:17:00,1.44,257.568125,45.580451
2024-09-20T00:18:00,1.44,257.521021,45.359032
2024-09-20T00:19:00,1.44,257.470423,45.138336
2024-09-20T00:20:00,1.45,257.407210,44.918612
2024-09-20T00:21:00,1.45,257.359977,44.697369
2024-09-20T00:22:00,1.44,257.315739,44.476087
2024-09-20T00:23:00,1.44,257.270870,44.254383
2024-09-20T00:24:00,1.44,257.225748,44.032747
2024-09-20T00:25:00,1.44,257.175268,43.812128
2024-09-20T00:26:00,1.44,257.124587,43.591303
2024-09-20T00:27:00,1.47,222.481789,31.862005
2024-09-20T00:28:00,1.46,222.489117,31.706212
2024-09-20T00:29:00,1.49,222.524274,31.550495
2024-09-20T00:30:00,1.49,222.501997,31.394601
2024-09-20T00:31:00,1.50,222.520510,31.238902
2024-09-20T00:32:00,1.49,222.525170,31.083142
2024-09-20T00:33:00,1.50,222.518688,30.927119
2024-09-20T00:34:00,1.50,222.532942,30.771330
2024-09-20T00:35:00,1.49,222.533317,30.662215
2024-09-20T00:36:00,1.48,222.538072,30.453548
2024-09-20T00:37:00,1.47,222.526887,30.303695
2024-09-20T00:38:00,1.43,213.985962,69.034333
2024-09-20T00:39:00,1.43,214.270743,68.905508
2024-09-20T00:40:00,1.42,214.684453,68.767277
2024-09-20T00:41:00,1.41,221.304718,70.381665
2024-09-20T00:42:00,1.38,221.796975,70.485514
2024-09-20T00:43:00,1.39,222.003544,70.078437
2024-09-20T00:44:00,1.39,222.386049,69.924818
2024-09-20T00:45:00,1.38,222.767268,69.768037
2024-09-20T00:46:00,1.38,223.140800,69.610201
2024-09-20T00:47:00,1.39,223.512077,69.449787
2024-09-20T00:48:00,1.37,223.875384,69.287852
2024-09-20T00:49:00,1.36,224.232987,69.125179
2024-09-20T00:50:00,1.35,224.584288,68.961289
2024-09-20T00:51:00,1.35,224.908942,68.805864
2024-09-20T00:52:00,1.35,225.335220,68.894141
2024-09-20T00:53:00,1.36,225.550647,68.474825
2024-09-20T00:54:00,1.36,225.850263,68.312086
2024-09-20T00:55:00,1.37,226.150667,68.149983
2024-09-20T00:56:00,1.37,226.443278,67.986575
2024-09-20T00:57:00,1.37,226.730471,67.822205
2024-09-20T00:58:00,1.36,227.012348,67.657347
2024-09-20T00:59:00,1.36,227.285612,67.490674
2024-09-20T01:00:00,1.37,227.557621,67.324155
2024-09-20T01:01:00,1.38,227.825144,67.154530
2024-09-20T01:02:00,1.38,228.275717,67.211176
2024-09-20T01:03:00,1.39,228.321683,66.772700
2024-09-20T01:04:00,1.40,228.586625,66.602648
2024-09-20T01:05:00,1.40,228.841355,66.435458
2024-09-20T01:06:00,1.39,229.093934,66.265769
2024-09-20T01:07:00,1.39,229.342126,66.095842
2024-09-20T01:08:00,1.40,229.608897,65.908213
2024-09-20T01:09:00,1.40,229.817335,65.732450
2024-09-20T01:10:00,1.41,230.263951,65.811982
2024-09-20T01:11:00,1.41,230.274214,65.384804
2024-09-20T01:12:00,1.43,230.716016,65.456230
2024-09-20T01:13:00,1.43,230.935665,65.277216
2024-09-20T01:14:00,1.43,231.151212,65.097941
2024-09-20T01:15:00,1.43,231.362616,64.918047
2024-09-20T01:16:00,1.44,231.570498,64.737561
2024-09-20T01:17:00,1.44,231.774740,64.556367
2024-09-20T01:18:00,1.42,231.974625,64.375127
2024-09-20T01:19:00,1.41,232.171211,64.192976
2024-09-20T01:20:00,1.41,232.363947,64.010478
2024-09-20T01:21:00,1.40,232.272905,63.595725
2024-09-20T01:22:00,1.41,232.478147,63.407662
2024-09-20T01:23:00,1.40,232.921439,63.460529
2024-09-20T01:24:00,1.40,232.823008,63.042678
2024-09-20T01:25:00,1.40,233.007899,62.857737
2024-09-20T01:26:00,1.39,233.189611,62.671650
2024-09-20T01:27:00,1.38,233.369554,62.483668
2024-09-20T01:28:00,1.37,233.545050,62.296203
2024-09-20T01:29:00,1.36,233.716339,62.109301
2024-09-20T01:30:00,1.36,233.884870,61.922081
2024-09-20T01:31:00,1.34,234.043431,61.742898
2024-09-20T01:32:00,1.35,234.205453,61.554813
2024-09-20T01:33:00,1.35,234.566215,61.599356
2024-09-20T01:34:00,1.36,234.508653,61.172443
2024-09-20T01:35:00,1.35,234.649529,60.989502
2024-09-20T01:36:00,1.33,234.785720,60.804904
2024-09-20T01:37:00,1.34,234.922794,60.620140
2024-09-20T01:38:00,1.34,235.055374,60.434150
2024-09-20T01:39:00,1.33,235.182711,60.248309
2024-09-20T01:40:00,1.35,235.311080,60.062492
2024-09-20T01:41:00,1.36,235.444440,59.875439
2024-09-20T01:42:00,1.36,235.569404,59.690727
2024-09-20T01:43:00,1.36,230.404793,58.744982
2024-09-20T01:44:00,1.36,230.643900,58.567021
2024-09-20T01:45:00,1.37,230.728207,58.388871
2024-09-20T01:46:00,1.38,230.858529,58.217530
2024-09-20T01:47:00,1.39,234.383634,60.408567
2024-09-20T01:48:00,1.39,234.520990,60.220841
2024-09-20T01:49:00,1.40,234.655831,60.032891
2024-09-20T01:50:00,1.38,234.787864,59.844569
2024-09-20T01:51:00,1.39,234.917503,59.655881
2024-09-20T01:52:00,1.39,235.044737,59.467135
2024-09-20T01:53:00,1.40,235.170085,59.277803
2024-09-20T01:54:00,1.39,235.578425,58.943868
2024-09-20T01:55:00,1.38,235.731423,58.740695
2024-09-20T01:56:00,1.37,235.853764,58.555078
2024-09-20T01:57:00,1.35,235.646364,58.518188
2024-09-20T01:58:00,1.34,235.760051,58.327486
2024-09-20T01:59:00,1.35,235.871309,58.136646
2024-09-20T02:00:00,1.35,235.980417,57.945630
2024-09-20T02:01:00,1.34,236.087635,57.754228
2024-09-20T02:02:00,1.32,236.457441,57.412059
2024-09-20T02:03:00,1.31,236.516445,57.222186
2024-09-20T02:04:00,1.28,236.615122,57.035033
2024-09-20T02:05:00,1.28,236.715630,56.848061
2024-09-20T02:06:00,1.30,236.811275,56.660274
2024-09-20T02:07:00,1.28,236.813691,56.771211
2024-09-20T02:08:00,1.28,236.907778,56.577842
2024-09-20T02:09:00,1.24,236.999436,56.384624
2024-09-20T02:10:00,1.28,237.089591,56.191112
2024-09-20T02:11:00,1.29,237.177940,55.997376
2024-09-20T02:12:00,1.28,237.135687,55.635042
2024-09-20T02:13:00,1.29,237.447471,55.306938
2024-09-20T02:14:00,1.28,237.512501,55.072063
2024-09-20T02:15:00,1.28,237.383140,55.052930
2024-09-20T02:16:00,1.27,237.462247,54.858483
2024-09-20T02:17:00,1.27,237.539778,54.663852
2024-09-20T02:18:00,1.28,237.615586,54.469198
2024-09-20T02:19:00,1.28,237.689839,54.274230
2024-09-20T02:20:00,1.28,237.764952,54.073058
2024-09-20T02:21:00,1.28,238.054646,53.722083
2024-09-20T02:22:00,1.29,237.903227,53.688717
2024-09-20T02:23:00,1.29,237.971385,53.493309
2024-09-20T02:24:00,1.28,238.037879,53.297658
2024-09-20T02:25:00,1.29,238.102990,53.101638
2024-09-20T02:26:00,1.28,238.166623,52.905835
2024-09-20T02:27:00,1.29,238.228871,52.709757
2024-09-20T02:28:00,1.30,238.289677,52.513428
2024-09-20T02:29:00,1.28,238.349186,52.317292
2024-09-20T02:30:00,1.29,238.407210,52.120816
2024-09-20T02:31:00,1.29,238.666309,51.767750
2024-09-20T02:32:00,1.28,238.519286,51.727704
2024-09-20T02:33:00,1.27,238.573343,51.530909
